Index,Indx Code,Grp,Short Desc,Orig,Size1,Size2,Desc,Size1 Dec,Size2 Dec
145,14,FLG,FLANGE-SW,.75" 300# RFSW FLANGE A350-LF2-CLASS1 S/XS BORE LTCS,.75",,300# RFSW FLANGE A350-LF2-CLASS1 S/XS BORE LTCS,0.75,0
146,14,FLG,FLANGE-SW,.75" 300# RFSW FLANGES A105 CS S/160 BORE,.75",,300# RFSW FLANGES A105 CS S/160 BORE,0.75,0
147,16,FLG,FLANGE-WN,.75" 300# RFWN FLANGE 316/316L SS S/80 BORE,.75",,300# RFWN FLANGE 316/316L SS S/80 BORE,0.75,0
148,16,FLG,FLANGE-WN,.75" 300# RFWN FLANGE A105 CS S/40 BORE,.75",,300# RFWN FLANGE A105 CS S/40 BORE,0.75,0
149,16,FLG,FLANGE-WN,.75" 300# RFWN FLANGE A105 CS S/80 BORE,.75",,300# RFWN FLANGE A105 CS S/80 BORE,0.75,0
150,17,FTG,45D EL,.75" 3000# SW 45D ELL A105 CS,.75",,3000# SW 45D ELL A105 CS,0.75,0
151,18,FTG,90D EL,.75" 3000# SW 90D ELL A105 CS,.75",,3000# SW 90D ELL A105 CS,0.75,0
152,18,FTG,90D EL,.75" 3000# SW 90D ELL A182-F304/304L SS,.75",,3000# SW 90D ELL A182-F304/304L SS,0.75,0
153,18,FTG,90D EL,.75" 3000# SW 90D ELL A182-F304/304L SS (CRYOGENIC SERVICE),.75",,3000# SW 90D ELL A182-F304/304L SS (CRYOGENIC SERVICE),0.75,0
154,18,FTG,90D EL,.75" 3000# SW 90D ELL A182-F316/316L SS DUAL STAMPED,.75",,3000# SW 90D ELL A182-F316/316L SS DUAL STAMPED,0.75,0
155,18,FTG,90D EL,.75" 3000# SW 90D ELL A350-LF2-LTCS,.75",,3000# SW 90D ELL A350-LF2-LTCS,0.75,0
156,18,FTG,90D EL,.75" 3000# SW 90D ELL ALLOY C275/B462/UNS-N10276,.75",,3000# SW 90D ELL ALLOY C275/B462/UNS-N10276,0.75,0
157,21,FTG,COUPLING,.75" 3000# SW COUPLING A105 CS ,.75",,3000# SW COUPLING A105 CS,0.75,0
158,21,FTG,COUPLING,.75" 3000# SW FULL COUPLING A105 CS ,.75",,3000# SW FULL COUPLING A105 CS,0.75,0
159,21,FTG,COUPLING,.75" 3000# SW FULL COUPLINGS A105 CS,.75",,3000# SW FULL COUPLINGS A105 CS,0.75,0
160,18,FTG,90D EL,.75" 3000# SW QUICKLEG 90D ELL A105 CS,.75",,3000# SW QUICKLEG 90D ELL A105 CS,0.75,0
161,32,FTG,TEE,.75" 3000# SW TEE  A105 CS,.75",,3000# SW TEE  A105 CS,0.75,0
162,32,FTG,TEE,.75" 3000# SW TEE A105 CS,.75",,3000# SW TEE A105 CS,0.75,0
163,32,FTG,TEE,.75" 3000# SW TEE A182-F304/304L SS,.75",,3000# SW TEE A182-F304/304L SS,0.75,0
164,32,FTG,TEE,.75" 3000# SW TEE A182-F316/316L SS DUAL STAMPED,.75",,3000# SW TEE A182-F316/316L SS DUAL STAMPED,0.75,0
165,34,FTG,UNION,.75" 3000# SW UNION A105 CS ,.75",,3000# SW UNION A105 CS,0.75,0
166,18,FTG,90D EL,.75" 3000# THRD 90D ELL A105 CS,.75",,3000# THRD 90D ELL A105 CS,0.75,0
167,18,FTG,90D EL,.75" 3000# THRD 90D ELL A105 GALVANIZED CS,.75",,3000# THRD 90D ELL A105 GALVANIZED CS,0.75,0
168,20,FTG,CAP,.75" 3000# THRD CAP A182-F304/304L SS (CRYOGENIC SERVICE),.75",,3000# THRD CAP A182-F304/304L SS (CRYOGENIC SERVICE),0.75,0
169,21,FTG,COUPLING,.75" 3000# THRD COUPLING A105 GALVANIZED CS,.75",,3000# THRD COUPLING A105 GALVANIZED CS,0.75,0
170,32,FTG,TEE,.75" 3000# THRD TEE A105 CS ,.75",,3000# THRD TEE A105 CS,0.75,0
171,34,FTG,UNION,.75" 3000# THRD UNION A105 CS ,.75",,3000# THRD UNION A105 CS,0.75,0
172,34,FTG,UNION,.75" 3000# THRD UNION A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED) ,.75",,3000# THRD UNION A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED),0.75,0
173,17,FTG,45D EL,.75" 45D ELL A403-WP316/316L SS WELDED S/40s BORE DUAL GRADE,.75",,45D ELL A403-WP316/316L SS WELDED S/40s BORE DUAL GRADE,0.75,0
174,16,FLG,FLANGE-WN,.75" 600# RFWN FLANGE SA105N CS S/80 BORE,.75",,600# RFWN FLANGE SA105N CS S/80 BORE,0.75,0
175,18,FTG,90D EL,.75" 6000 SW 90D ELL A105 CS,.75",,6000 SW 90D ELL A105 CS,0.75,0
176,32,FTG,TEE,.75" 6000 SW TEE A105 CS,.75",,6000 SW TEE A105 CS,0.75,0
177,17,FTG,45D EL,.75" 6000# SW 45D ELL A105 CS,.75",,6000# SW 45D ELL A105 CS,0.75,0
178,18,FTG,90D EL,.75" 6000# SW 90D ELL A105 CS ,.75",,6000# SW 90D ELL A105 CS,0.75,0
179,21,FTG,COUPLING,.75" 6000# SW COUPLING A105 CS,.75",,6000# SW COUPLING A105 CS,0.75,0
180,32,FTG,TEE,.75" 6000# SW TEE A105 CS ,.75",,6000# SW TEE A105 CS,0.75,0
181,32,FTG,TEE,.75" 6000# SW TEE A181 CS,.75",,6000# SW TEE A181 CS,0.75,0
182,34,FTG,UNION,.75" 6000# SW UNION A105 CS ,.75",,6000# SW UNION A105 CS,0.75,0
183,20,FTG,CAP,.75" 6000# THRD CAP A105 CS,.75",,6000# THRD CAP A105 CS,0.75,0
184,21,FTG,COUPLING,.75" 6000# THRD COUPLING A105 CS,.75",,6000# THRD COUPLING A105 CS,0.75,0
185,79,VALVE,VALVE-GATE,.75" 800# MSWxFNPT CS GATE VALVE,.75",,800# MSWxFNPT CS GATE VALVE,0.75,0
186,79,VALVE,VALVE-GATE,.75" 800# SWxTHRD GATE VALVE,.75",,800# SWxTHRD GATE VALVE,0.75,0
187,79,VALVE,VALVE-GATE,.75" 800#, SW, GATE VALVE, CS,.75",,800#, SW, GATE VALVE, CS,0.75,0
188,18,FTG,90D EL,.75" 90° ELL FEMALE CPI 316SS  PARKER PART # 12-12-EBZ-SS,.75",,90° ELL FEMALE CPI 316SS  PARKER PART # 12-12-EBZ-SS,0.75,0
