Index,Indx Code,Grp,Short Desc,Orig,Size1,Size2,Desc,Size1 Dec,Size2 Dec
416,14,FLG,FLANGE-SW,1" 150# RFSW FLANGE A182-F316/316L SS S/80s BORE,1",,150# RFSW FLANGE A182-F316/316L SS S/80s BORE,1,0
417,14,FLG,FLANGE-SW,1" 150# RFSW FLANGE ALLOY C276 B462 UNS-N10276 S/40s BORE,1",,150# RFSW FLANGE ALLOY C276 B462 UNS-N10276 S/40s BORE,1,0
418,14,FLG,FLANGE-SW,1" 150# RFSW FLANGES A105 CS S/XS BORE,1",,150# RFSW FLANGES A105 CS S/XS BORE,1,0
419,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE A105 CS S/40 BORE,1",,150# RFWN FLANGE A105 CS S/40 BORE,1,0
420,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE A105 CS S/80 BORE,1",,150# RFWN FLANGE A105 CS S/80 BORE,1,0
421,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE A182-F304/304L S/40s DUAL MARKED,1",,150# RFWN FLANGE A182-F304/304L S/40s DUAL MARKED,1,0
422,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE A182-F304/304L SS S/10s BORE,1",,150# RFWN FLANGE A182-F304/304L SS S/10s BORE,1,0
423,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE A182-F316/316L SS S/10s  "D M",1",,150# RFWN FLANGE A182-F316/316L SS S/10s  "D M",1,0
424,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE A182-F316/316L SS S/10s BORE,1",,150# RFWN FLANGE A182-F316/316L SS S/10s BORE,1,0
425,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE A182-F316/316L SS S/40s BORE,1",,150# RFWN FLANGE A182-F316/316L SS S/40s BORE,1,0
426,16,FLG,FLANGE-WN,1" 150# RFWN FLANGE S/40s BORE A182-F304/304L DUAL GRADE,1",,150# RFWN FLANGE S/40s BORE A182-F304/304L DUAL GRADE,1,0
427,18,FTG,90D EL,1" 150# THRD 90D ELL A123/A153 GALVANIZED MI,1",,150# THRD 90D ELL A123/A153 GALVANIZED MI,1,0
428,32,FTG,TEE,1" 150# THRD TEE A123/A153 GALVANIZED MI,1",,150# THRD TEE A123/A153 GALVANIZED MI,1,0
429,7,FLG,FLANGE-GROOVE,1" 1500# LRG GROOVE FLANGE X FNPT ALLOY 2205 SS A182-F51 (UNS S32205),1",,1500# LRG GROOVE FLANGE X FNPT ALLOY 2205 SS A182-F51 (UNS S32205),1,0
430,14,FLG,FLANGE-SW,1" 1500# RFSW FLANGE A182-F316/316L SS S/80s BORE DUAL STAMPED,1",,1500# RFSW FLANGE A182-F316/316L SS S/80s BORE DUAL STAMPED,1,0
431,14,FLG,FLANGE-SW,1" 1500#RFSW FLANGE A105 CS S/XS BORE,1",,1500#RFSW FLANGE A105 CS S/XS BORE,1,0
432,5,FLG-BLIND,BLIND FLANGE,1" 300# RF BLIND FLANGE A105 CS ,1",,300# RF BLIND FLANGE A105 CS,1,0
433,5,FLG-BLIND,BLIND FLANGE,1" 300# RF BLIND FLANGE A350-LF2 CLASS-1 LTCS,1",,300# RF BLIND FLANGE A350-LF2 CLASS-1 LTCS,1,0
434,6,FLG-BLIND,SPECTACLE BLIND,1" 300# RF SPEC BLIND ALLOY C276/B575/API-590,1",,300# RF SPEC BLIND ALLOY C276/B575/API-590,1,0
435,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE A105 CS S/160 BORE,1",,300# RFSW FLANGE A105 CS S/160 BORE,1,0
436,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE A105 CS S/80 BORE,1",,300# RFSW FLANGE A105 CS S/80 BORE,1,0
437,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE A105 CS S/XS BORE,1",,300# RFSW FLANGE A105 CS S/XS BORE,1,0
438,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE A105N CS S/80 BORE,1",,300# RFSW FLANGE A105N CS S/80 BORE,1,0
439,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE A182-F304/304L SS S/40s BORE,1",,300# RFSW FLANGE A182-F304/304L SS S/40s BORE,1,0
440,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE A350-LF2 CLASS 1 S/XS LTCS,1",,300# RFSW FLANGE A350-LF2 CLASS 1 S/XS LTCS,1,0
441,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE A350-LF2-CLASS1 S/XS BORE LTCS,1",,300# RFSW FLANGE A350-LF2-CLASS1 S/XS BORE LTCS,1,0
442,14,FLG,FLANGE-SW,1" 300# RFSW FLANGE ALLOY C276/B462/UNS-N10276 S/80s BORE,1",,300# RFSW FLANGE ALLOY C276/B462/UNS-N10276 S/80s BORE,1,0
443,14,FLG,FLANGE-SW,1" 300# RFSW FLANGES A105 CS S/80 BORE,1",,300# RFSW FLANGES A105 CS S/80 BORE,1,0
444,16,FLG,FLANGE-WN,1" 300# RFWN FLANGE A105 CS S/40 BORE,1",,300# RFWN FLANGE A105 CS S/40 BORE,1,0
445,34,FTG,UNION,1" 300# THRD UNION GALVANIZED MI W/BRASS SEATS,1",,300# THRD UNION GALVANIZED MI W/BRASS SEATS,1,0
446,32,FTG,TEE,1" 3000 SW TEE A105 CS,1",,3000 SW TEE A105 CS,1,0
447,17,FTG,45D EL,1" 3000# SW 45D ELL A105 CS ,1",,3000# SW 45D ELL A105 CS,1,0
448,17,FTG,45D EL,1" 3000# SW 45D ELL A182-F304/304L DUAL GRADE,1",,3000# SW 45D ELL A182-F304/304L DUAL GRADE,1,0
449,0,,,1" 3000# SW 90D A350-LF2 CLASS1,1",,3000# SW 90D A350-LF2 CLASS1,1,0
450,18,FTG,90D EL,1" 3000# SW 90D ELL 316/316L SS,1",,3000# SW 90D ELL 316/316L SS,1,0
451,18,FTG,90D EL,1" 3000# SW 90D ELL A105 CS,1",,3000# SW 90D ELL A105 CS,1,0
452,18,FTG,90D EL,1" 3000# SW 90D ELL A182-F304/304L DUAL GRADE,1",,3000# SW 90D ELL A182-F304/304L DUAL GRADE,1,0
453,18,FTG,90D EL,1" 3000# SW 90D ELL A350-LF2 CLASS 1 LTCS,1",,3000# SW 90D ELL A350-LF2 CLASS 1 LTCS,1,0
454,18,FTG,90D EL,1" 3000# SW 90D ELL ALLOY C275/B462/UNS-N10276,1",,3000# SW 90D ELL ALLOY C275/B462/UNS-N10276,1,0
455,20,FTG,CAP,1" 3000# SW CAP A105 CS ,1",,3000# SW CAP A105 CS,1,0
456,21,FTG,COUPLING,1" 3000# SW COUPLING A105 CS,1",,3000# SW COUPLING A105 CS,1,0
457,21,FTG,COUPLING,1" 3000# SW COUPLING A105CS,1",,3000# SW COUPLING A105CS,1,0
458,21,FTG,COUPLING,1" 3000# SW COUPLING A350-LF2 CLASS 1 LTCS,1",,3000# SW COUPLING A350-LF2 CLASS 1 LTCS,1,0
459,32,FTG,TEE,1" 3000# SW TEE 316/316L SS,1",,3000# SW TEE 316/316L SS,1,0
460,32,FTG,TEE,1" 3000# SW TEE A105 CS,1",,3000# SW TEE A105 CS,1,0
461,32,FTG,TEE,1" 3000# SW TEE A182-F304/304L DUAL GRADE,1",,3000# SW TEE A182-F304/304L DUAL GRADE,1,0
462,32,FTG,TEE,1" 3000# SW TEE A350-LF2 CLASS 1 LTCS,1",,3000# SW TEE A350-LF2 CLASS 1 LTCS,1,0
463,32,FTG,TEE,1" 3000# SW TEE A350-LF2 CLASS1,1",,3000# SW TEE A350-LF2 CLASS1,1,0
464,32,FTG,TEE,1" 3000# SW TEE A350-LFC CLASS 1 LTCS,1",,3000# SW TEE A350-LFC CLASS 1 LTCS,1,0
465,32,FTG,TEE,1" 3000# SW TEE ALLOY C276/B462/UNS-N10276,1",,3000# SW TEE ALLOY C276/B462/UNS-N10276,1,0
466,34,FTG,UNION,1" 3000# SW UNION A105 CS,1",,3000# SW UNION A105 CS,1,0
467,32,FTG,TEE,1" 3000# SW UNION A105 CS STEEL/STEEL SEATS,1",,3000# SW UNION A105 CS STEEL/STEEL SEATS,1,0
468,34,FTG,UNION,1" 3000# SW UNION A181 CS,1",,3000# SW UNION A181 CS,1,0
469,18,FTG,90D EL,1" 3000# THRD 90D ELL A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED) ,1",,3000# THRD 90D ELL A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED),1,0
470,18,FTG,90D EL,1" 3000# THRD 90D ELL A105 GALVANIZED FORGED CS,1",,3000# THRD 90D ELL A105 GALVANIZED FORGED CS,1,0
471,20,FTG,CAP,1" 3000# THRD CAP A105 CS,1",,3000# THRD CAP A105 CS,1,0
472,20,FTG,CAP,1" 3000# THRD CAP A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED) ,1",,3000# THRD CAP A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED),1,0
473,21,FTG,COUPLING,1" 3000# THRD COUPLING A105 GALVANIZED CS,1",,3000# THRD COUPLING A105 GALVANIZED CS,1,0
474,32,FTG,TEE,1" 3000# THRD TEE A105 CS,1",,3000# THRD TEE A105 CS,1,0
475,32,FTG,TEE,1" 3000# THRD TEE A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED) ,1",,3000# THRD TEE A105 GALV CS (HOT DIPPED OR ELECTRODEPOSITED),1,0
476,34,FTG,UNION,1" 3000# THRD UNION A105 CS ,1",,3000# THRD UNION A105 CS,1,0
477,17,FTG,45D EL,1" 45D ELL A403-WP304/304L S/10s SEAMLESS SS,1",,45D ELL A403-WP304/304L S/10s SEAMLESS SS,1,0
478,17,FTG,45D EL,1" 45D ELL A403-WP316/316L S/10s SEAMLESS SS,1",,45D ELL A403-WP316/316L S/10s SEAMLESS SS,1,0
479,5,FLG-BLIND,BLIND FLANGE,1" 600# RF BLIND FLANGE A105N W/SW .75" TAP IN CENTER,1",,600# RF BLIND FLANGE A105N W/SW .75" TAP IN CENTER,1,0
480,5,FLG-BLIND,BLIND FLANGE,1" 600# RF BLIND FLANGE SA105N CS,1",,600# RF BLIND FLANGE SA105N CS,1,0
481,2,B_G,GASKET,1" 600# RF GASKET 1/8" THK SPIRAL WND 316L SS W/CS OUTER & SS INNER RING,1",,600# RF GASKET 1/8" THK SPIRAL WND 316L SS W/CS OUTER & SS INNER RING,1,0
482,14,FLG,FLANGE-SW,1" 600# RFSW  FLANGE A105 CS S/XS BORE,1",,600# RFSW  FLANGE A105 CS S/XS BORE,1,0
483,14,FLG,FLANGE-SW,1" 600# RFSW FLANGE A105 CS S/XS BORE,1",,600# RFSW FLANGE A105 CS S/XS BORE,1,0
484,14,FLG,FLANGE-SW,1" 600# RFSW FLANGE A105N CS S/160 BORE,1",,600# RFSW FLANGE A105N CS S/160 BORE,1,0
485,14,FLG,FLANGE-SW,1" 600# RFSW FLANGE A105N CS S/80 BORE,1",,600# RFSW FLANGE A105N CS S/80 BORE,1,0
486,14,FLG,FLANGE-SW,1" 600# RFSW FLANGE A350-LF2 CLASS-1 S/160 BORE LTCS,1",,600# RFSW FLANGE A350-LF2 CLASS-1 S/160 BORE LTCS,1,0
487,16,FLG,FLANGE-WN,1" 600# RFWN FLANGE A105 CS S/80 BORE,1",,600# RFWN FLANGE A105 CS S/80 BORE,1,0
488,16,FLG,FLANGE-WN,1" 600# RFWN FLANGE A105 CS S/XS BORE,1",,600# RFWN FLANGE A105 CS S/XS BORE,1,0
489,16,FLG,FLANGE-WN,1" 600# RFWN FLANGE SA105N CS S/80 BORE,1",,600# RFWN FLANGE SA105N CS S/80 BORE,1,0
490,17,FTG,45D EL,1" 6000# SW 45D ELL A105 CS,1",,6000# SW 45D ELL A105 CS,1,0
491,18,FTG,90D EL,1" 6000# SW 90D ELL A105 CS,1",,6000# SW 90D ELL A105 CS,1,0
492,32,FTG,TEE,1" 6000# SW TEE A105 CS,1",,6000# SW TEE A105 CS,1,0
493,32,FTG,TEE,1" 6000# SW TEE A181 CS,1",,6000# SW TEE A181 CS,1,0
494,34,FTG,UNION,1" 6000# SW UNION A105 CS ,1",,6000# SW UNION A105 CS,1,0
495,34,FTG,UNION,1" 6000# SW UNION A181 CS ,1",,6000# SW UNION A181 CS,1,0
496,21,FTG,COUPLING,1" 6000# SWxTHRD COUPLING A105 CS,1",,6000# SWxTHRD COUPLING A105 CS,1,0
497,17,FTG,45D EL,1" 800#, SWxSCRD, GATE VALVE, A105 CS, HYDROFORMED BELLOWS,1",,800#, SWxSCRD, GATE VALVE, A105 CS, HYDROFORMED BELLOWS,1,0
498,18,FTG,90D EL,1" 90° ELL FEMALE CPI 316SS  PARKER PART # 16-16-EBZ-SS,1",,90° ELL FEMALE CPI 316SS  PARKER PART # 16-16-EBZ-SS,1,0
499,18,FTG,90D EL,1" 9000# SW 90D ELL A105 CS,1",,9000# SW 90D ELL A105 CS,1,0
500,18,FTG,90D EL,1" 90D ELL FEMALE CPI x 1" FEMALE NPT, 316SS  PARKER # 16-16-DBZ-SS,1",,90D ELL FEMALE CPI x 1" FEMALE NPT, 316SS  PARKER # 16-16-DBZ-SS,1,0
501,74,TUBING,TUBE-FTG-ADAPTER,1" ADAPTER 1" FEMALE BSPP x 1" MNPT GALV CS,1",ADAPTER 1",FEMALE BSPP x 1" MNPT GALV CS,1,0
502,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-2"),1",,ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-2"),1,0
503,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-5"),1",,ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-5"),1,0
504,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-7 1/2"),1",,ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-7 1/2"),1,0
505,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-9"),1",,ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 1'-9"),1,0
506,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 2'-1"),1",,ANGLE SUPPORT "L" SHAPED TYPE "A" (L = 2'-1"),1,0
507,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "B" (L = 11"),1",,ANGLE SUPPORT "L" SHAPED TYPE "B" (L = 11"),1,0
508,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "B" (L = 1'-10.5"),1",,ANGLE SUPPORT "L" SHAPED TYPE "B" (L = 1'-10.5"),1,0
509,52,SUPT,ANGLE,1" ANGLE SUPPORT "L" SHAPED TYPE "B" (L = 2'-0"),1",,ANGLE SUPPORT "L" SHAPED TYPE "B" (L = 2'-0"),1,0
510,52,SUPT,ANGLE,1" ANGLE SUPPORT "STRAIGHT" TYPE "A" SHAPE (L= 2'-0"),1",,ANGLE SUPPORT "STRAIGHT" TYPE "A" SHAPE (L= 2'-0"),1,0
511,52,SUPT,ANGLE,1" ANGLE SUPPORT "STRAIGHT" TYPE "A" SHAPE (L= 2'-2 5/8"),1",,ANGLE SUPPORT "STRAIGHT" TYPE "A" SHAPE (L= 2'-2 5/8"),1,0
512,54,SUPT,BASE,1" BASE SUPPORT TYPE "B" (2'-0"),1",,BASE SUPPORT TYPE "B" (2'-0"),1,0
513,37,MISC,ROUND BAR,1" BOLTED ANGLE SUPPORT TO BARE PIPE (L =12" / U BOLT TO 4" STACK),1",,BOLTED ANGLE SUPPORT TO BARE PIPE (L =12" / U BOLT TO 4" STACK),1,0
514,39,NIP,NIPPLE,1" BRANCH NIPPLE 4" LG, SCH.160, CS A106-B SMLS PBE,1",,BRANCH NIPPLE 4" LG, SCH.160, CS A106-B SMLS PBE,1,0
515,74,TUBING,TUBE-FTG-ADAPTER,1" BULKHEAD FITTING 1" MALE BSPP GALVANIZED CS,1",,BULKHEAD FITTING 1" MALE BSPP GALVANIZED CS,1,0
516,32,FTG,TEE,1" BW TEE A234-WPB SMLS CS S/160 BORE,1",,BW TEE A234-WPB SMLS CS S/160 BORE,1,0
517,32,FTG,TEE,1" BW TEE A403-WP304/304L SS S/40s BORE DUAL MARKED,1",,BW TEE A403-WP304/304L SS S/40s BORE DUAL MARKED,1,0
518,20,FTG,CAP,1" CAMLOCK 304SS FEMALE CAM & GROOVE DUST CAP,1",,CAMLOCK 304SS FEMALE CAM & GROOVE DUST CAP,1,0
519,48,SP-ITEM,CAMLOCK ADAPTER,1" CAMLOCK 304SS MALE CAM & GROOVE ADAPTER x FNPT,1",,CAMLOCK 304SS MALE CAM & GROOVE ADAPTER x FNPT,1,0
520,17,FTG,45D EL,1" ELL S10S BW LR 45 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1",,ELL S10S BW LR 45 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1,0
521,18,FTG,90D EL,1" ELL S10S BW LR 90 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1",,ELL S10S BW LR 90 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1,0
522,17,FTG,45D EL,1" ELL SCH. 40S BW LR 45 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1",,ELL SCH. 40S BW LR 45 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1,0
523,18,FTG,90D EL,1" ELL SCH. 40S BW LR 90 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1",,ELL SCH. 40S BW LR 90 CE ALLOY 2205 DUPLEX SS A815-WPS32205-W (UNS S32205),1,0
524,75,TUBING,TUBE-FTG-REDUCER,1" FEMALE CPI x .5" FEMALE CPI REDUCER 316SS,1",,FEMALE CPI x .5" FEMALE CPI REDUCER 316SS,1,0
525,14,FLG,FLANGE-SW,1" FLANGE SW 300# RF, SCH.80, CS A105,1",,FLANGE SW 300# RF, SCH.80, CS A105,1,0
526,5,FLG-BLIND,BLIND FLANGE,1" FLG 1500 BLIND RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1",,FLG 1500 BLIND RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1,0
527,5,FLG-BLIND,BLIND FLANGE,1" FLG 1500# BLIND RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1",,FLG 1500# BLIND RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1,0
528,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 1'-3"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 1'-3"),1,0
529,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-1"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-1"),1,0
530,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-2"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-2"),1,0
531,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-2.5"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-2.5"),1,0
532,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-5"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-5"),1,0
533,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-6"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 2'-6"),1,0
534,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 3'-6"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 3'-6"),1,0
535,58,SUPT,CLEVIS_BEAM ATTACH,1" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 4'-7"),1",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 4'-7"),1,0
536,9,FLG,FLANGE-LOK-RING,1" LOK-RING COUPLING CL3000 CS MAS-3000-CPL-P16,1",,LOK-RING COUPLING CL3000 CS MAS-3000-CPL-P16,1,0
537,18,FTG,90D EL,1" LR 90D ELL A234-WPB SMLS CS S/40 BORE,1",,LR 90D ELL A234-WPB SMLS CS S/40 BORE,1,0
538,18,FTG,90D EL,1" LR 90D ELL A234-WPB SMLS CS S/80 BORE,1",,LR 90D ELL A234-WPB SMLS CS S/80 BORE,1,0
539,18,FTG,90D EL,1" LR 90D ELL A403-WP304/304L S/10s SEAMLESS SS,1",,LR 90D ELL A403-WP304/304L S/10s SEAMLESS SS,1,0
540,18,FTG,90D EL,1" LR 90D ELL A403-WP316/316L S/10s SEAMLESS SS,1",,LR 90D ELL A403-WP316/316L S/10s SEAMLESS SS,1,0
541,18,FTG,90D EL,1" LR 90D ELL A403-WP316/316L S/40s SEAMLESS SS,1",,LR 90D ELL A403-WP316/316L S/40s SEAMLESS SS,1,0
542,18,FTG,90D EL,1" LR 90D ELL A403-WP316/316L SS SMLS S/40s BORE "D M",1",,LR 90D ELL A403-WP316/316L SS SMLS S/40s BORE "D M",1,0
543,77,VALVE,VALVE-BALL,1" MOGAS - MODEL CA-H01 CLASS 1500 RTJ BALL VLV,1",,MOGAS - MODEL CA-H01 CLASS 1500 RTJ BALL VLV,1,0
544,76,TUBING,TUBING,1" OD X .156 WALL TUBESS SML A213-316,1",,OD X .156 WALL TUBESS SML A213-316,1,0
545,32,FTG,TEE,1" PARKER TYPE TEE 316SS FEMALE CPI,1",,PARKER TYPE TEE 316SS FEMALE CPI,1,0
546,37,MISC,ROUND BAR,1" PE ROUND PLUG A105 CS,1",,PE ROUND PLUG A105 CS,1,0
547,46,PIP,PIPE,1" PIPE S/40s BORE A312-TP304/304L SS DUAL MARKED,1",,PIPE S/40s BORE A312-TP304/304L SS DUAL MARKED,1,0
548,46,PIP,PIPE,1" PIPE S10S SS WLD CE A790 TYPE 2205 (UNS S32205),1",,PIPE S10S SS WLD CE A790 TYPE 2205 (UNS S32205),1,0
549,46,PIP,PIPE,1" PIPE SCH 40S SS WLD CE A790 TYPE 2205 (UNS S32205),1",,PIPE SCH 40S SS WLD CE A790 TYPE 2205 (UNS S32205),1,0
550,46,PIP,PIPE,1" PIPE SUPPORTE-Z LINE U-BOLT WITH I-ROD SCH-UBIR-1",1",,PIPE SUPPORTE-Z LINE U-BOLT WITH I-ROD SCH-UBIR-1",1,0
551,37,MISC,ROUND BAR,1" PLUG SOLID ROUND THRD, CS A105,1",,PLUG SOLID ROUND THRD, CS A105,1,0
552,2,B_G,GASKET,1" RING GASKET 1500 R16 RING JOINT 316L SST-OVAL,1",,RING GASKET 1500 R16 RING JOINT 316L SST-OVAL,1,0
553,37,MISC,ROUND BAR,1" ROUND HEAD THRD PLUG A105 CS,1",,ROUND HEAD THRD PLUG A105 CS,1,0
554,37,MISC,ROUND BAR,1" ROUND HEAD THRD PLUG A350-LF2 LTCS,1",,ROUND HEAD THRD PLUG A350-LF2 LTCS,1,0
555,32,FTG,TEE,1" ROUND SOLID STEEL PLUG A105 CS,1",,ROUND SOLID STEEL PLUG A105 CS,1,0
556,37,MISC,ROUND BAR,1" ROUND THRD PLUG NITRONIC 60 WITH LANYARD,1",,ROUND THRD PLUG NITRONIC 60 WITH LANYARD,1,0
557,16,FLG,FLANGE-WN,1" RTJWN FLG 1500 S10S WN RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1",,RTJWN FLG 1500 S10S WN RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1,0
558,16,FLG,FLANGE-WN,1" RTJWN FLG 1500# SCH 40S WN RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1",,RTJWN FLG 1500# SCH 40S WN RJ 63AA CE ALLOY 2205 SS A182-F51 (UNS S32205),1,0
559,46,PIP,PIPE,1" S/10S A312-TP304/304L SEAMLESS PIPE,1",,S/10S A312-TP304/304L SEAMLESS PIPE,1,0
560,46,PIP,PIPE,1" S/10s A312-TP304/304L SS SEAMLESS PIPE,1",,S/10s A312-TP304/304L SS SEAMLESS PIPE,1,0
561,46,PIP,PIPE,1" S/10S A312-TP316/316L SEAMLESS PIPE,1",,S/10S A312-TP316/316L SEAMLESS PIPE,1,0
562,46,PIP,PIPE,1" S/160 A106B SEAMLESS CS PIPE,1",,S/160 A106B SEAMLESS CS PIPE,1,0
563,46,PIP,PIPE,1" S/160 BORE A106B SMLS CS PIPE,1",,S/160 BORE A106B SMLS CS PIPE,1,0
564,46,PIP,PIPE,1" S/160 BORE A333 SMLS CS PIPE,1",,S/160 BORE A333 SMLS CS PIPE,1,0
565,46,PIP,PIPE,1" S/40 BORE A106B SEAMLESS CS PIPE,1",,S/40 BORE A106B SEAMLESS CS PIPE,1,0
566,46,PIP,PIPE,1" S/40 BORE A587/A106B GALVANIZED PIPE,1",,S/40 BORE A587/A106B GALVANIZED PIPE,1,0
567,46,PIP,PIPE,1" S/40s A312-TP304/304L SEAMLESS SS PIPE,1",,S/40s A312-TP304/304L SEAMLESS SS PIPE,1,0
568,46,PIP,PIPE,1" S/40s A312-TP304/304L SS PIPE WELDED PICKLED & PASSIVATED,1",,S/40s A312-TP304/304L SS PIPE WELDED PICKLED & PASSIVATED,1,0
569,46,PIP,PIPE,1" S/40s A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE "D M",1",,S/40s A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE "D M",1,0
570,46,PIP,PIPE,1" S/40s ALLOY-C276-B622 UNS-N010276 SEAMLESS PIPE,1",,S/40s ALLOY-C276-B622 UNS-N010276 SEAMLESS PIPE,1,0
571,46,PIP,PIPE,1" S/80 BORE 304/304L SS PIPE,1",,S/80 BORE 304/304L SS PIPE,1,0
572,46,PIP,PIPE,1" S/80 BORE A106B SEAMLESS CS PIPE,1",,S/80 BORE A106B SEAMLESS CS PIPE,1,0
573,46,PIP,PIPE,1" S/80 BORE A106B SMLS CS PIPE,1",,S/80 BORE A106B SMLS CS PIPE,1,0
574,46,PIP,PIPE,1" S/80s A312-TP316/316L SS PIPE,1",,S/80s A312-TP316/316L SS PIPE,1,0
575,46,PIP,PIPE,1" S/XS A106B SEAMLESS CS PIPE,1",,S/XS A106B SEAMLESS CS PIPE,1,0
576,46,PIP,PIPE,1" S/XS A106B SMLS CS PIPE,1",,S/XS A106B SMLS CS PIPE,1,0
577,46,PIP,PIPE,1" S/XS A333-GRADE 6 SEAMLESS LTCS PIPE,1",,S/XS A333-GRADE 6 SEAMLESS LTCS PIPE,1,0
578,46,PIP,PIPE,1" S/XS BORE A106B SEAMLESS CS PIPE,1",,S/XS BORE A106B SEAMLESS CS PIPE,1,0
579,46,PIP,PIPE,1" S/XS BORE A106B SEAMLESS CS PIPE GALVANIZED,1",,S/XS BORE A106B SEAMLESS CS PIPE GALVANIZED,1,0
580,46,PIP,PIPE,1" S/XS BORE A106B SMLS CS PIPE,1",,S/XS BORE A106B SMLS CS PIPE,1,0
581,46,PIP,PIPE,1" S/XXS BORE A106B SMLS CS PIPE,1",,S/XXS BORE A106B SMLS CS PIPE,1,0
